name,longitude,latitude
Panthera leo,20.670567,-26.578198
Panthera leo,35.087495,-1.576651
Panthera leo,35.76702,-3.042186
Panthera leo,34.916629,-1.68342
Panthera leo,31.996635,-13.082773
Panthera leo,22.500435,-19.210515
Panthera leo,22.409484,-19.32082
Panthera leo,22.532784,-19.368267
Panthera leo,31.865598,-25.214162
Panthera leo,36.884519,0.023181
Panthera leo,36.984097,0.046249
Panthera leo,31.578295,-23.167781
Panthera leo,37.210038,-2.612341
Panthera leo,36.168972,-4.192792
Panthera leo,16.785478,-18.82483
Panthera leo,25.853724,-33.629269
Panthera leo,24.007212,-18.437576
Panthera leo,26.505178,-33.444942
Panthera leo,24.308531,-18.916147
Panthera leo,15.640233,-19.117004
Panthera leo,16.072449,-19.228975
Panthera leo,34.983918,-2.205063
Panthera leo,31.564624,-23.30988
Panthera leo,31.401342,-23.293236
Panthera leo,24.503899,-18.528693
Panthera leo,35.023487,-2.486436
Panthera leo,25.805878,-14.976889
Panthera leo,31.039414,-6.763547
Panthera leo,23.612808,-18.605448
Panthera leo,31.944327,-24.426778
Panthera leo,23.588415,-18.938924
Panthera leo,31.665922,-21.627274
Panthera leo,36.032704,-3.622694
Panthera leo,34.94876,-2.591442
Panthera leo,22.600584,-19.282158
Panthera leo,31.562354,-24.875172
Panthera leo,30.699187,-1.920456
Panthera leo,31.203305,-6.824508
Panthera leo,31.647687,-13.047491
Panthera leo,31.746926,-13.044643
Panthera leo,31.523038,-24.586117
Panthera leo,30.753751,-1.837062
Panthera leo,22.024474,-32.255135
Panthera leo,37.027865,-7.259031
Panthera leo,31.944807,-24.722712
Panthera leo,31.925825,-24.953915
Panthera leo,26.077591,-33.409184
Panthera leo,26.013833,-33.525639
Panthera leo,27.068129,-18.959368
Panthera leo,27.046367,-19.04728
Panthera leo,23.22195,-19.225618
Panthera leo,24.013265,-18.709405
Panthera leo,27.956802,-17.717954
Panthera leo,31.834006,-24.69496
Panthera leo,31.215991,-23.13311
Panthera leo,36.741336,-1.287416
Panthera leo,40.1386,-1.9349
Panthera leo,38.19,-0.0881
Panthera leo,38.0231,-0.0588
Panthera leo,36.983446,0.353556
Panthera leo,15.428393,-18.809389
Panthera leo,24.807184,-17.864487
Panthera leo,16.458419,-19.060672
Panthera leo,38.615102,-3.374169
Panthera leo,30.633936,-1.505439
Panthera leo,30.679018,-1.768874
Panthera leo,15.660474,-19.024962
Panthera leo,23.704046,-19.104664
Panthera leo,24.698856,-18.546274
Panthera leo,29.833943,-0.354297
Panthera leo,2.482225,12.009906
Panthera leo,2.4201,11.937817
Panthera leo,2.201096,12.360492
Panthera leo,2.343579,11.855104
Panthera leo,2.35274,11.999293
Panthera leo,30.814992,-24.577922
Panthera leo,30.898703,-24.524303
Panthera leo,25.685982,-17.853416
Panthera leo,2.378253,12.228093
Panthera leo,2.352583,12.382588
Panthera leo,31.750333,-25.183359
Panthera leo,38.498763,-2.023095
Panthera leo,36.801154,-0.142353
Panthera leo,38.971745,-3.085007
Panthera leo,37.583525,0.430646
Panthera leo,35.517349,-0.707805
Panthera leo,33.642019,3.705555
Panthera leo,33.693012,3.609719
Panthera leo,1.469301,11.318419
Panthera leo,2.622328,11.718327
Panthera leo,22.280001,-27.305126
Panthera leo,36.006628,-3.764099
Panthera leo,38.0234,0.211607
Panthera leo,38.185207,0.239776
Panthera leo,2.204626,12.142762
Panthera leo,2.55042,12.264786
Panthera leo,36.939815,-1.200782
Panthera leo,31.237255,-23.401805
Panthera leo,23.811066,-21.368706
Panthera leo,23.568472,-22.301293
Panthera leo,24.155801,-23.572308
Panthera leo,38.10308,0.149473
Panthera leo,38.00348,0.399708
Panthera leo,35.204446,12.739805
Panthera leo,14.755243,-18.90297
Panthera leo,34.837685,-1.230576
Panthera leo,31.348272,-25.006312
Panthera leo,25.586574,-20.66602
Panthera leo,37.274425,-0.069536
Panthera leo,30.867012,-24.004508
Panthera leo,35.352851,-7.429218
Panthera leo,31.101234,-24.16644
Panthera leo,31.83713,-28.386196
Panthera leo,26.103533,-14.696112
Panthera leo,32.113723,-27.911838
Panthera leo,32.27668,-27.824707
Panthera leo,38.129171,-7.792026
Panthera leo,23.551677,-19.492823
Panthera leo,35.202942,-1.573594
Panthera leo,31.407118,-24.550187
Panthera leo,22.870967,-30.576445
Panthera leo,37.237667,-2.26714
Panthera leo,31.67089,-13.136506
Panthera leo,33.631564,3.894567
Panthera leo,34.871931,-2.232592
Panthera leo,35.995104,-3.853955
Panthera leo,23.607311,-18.491571
Panthera leo,37.24098,-2.733961
Panthera leo,35.282869,-1.415737
Panthera leo,35.396086,-1.561345
Panthera leo,28.949263,-25.239196
Panthera leo,24.135744,-18.760231
Panthera leo,31.539173,-25.466905
Panthera leo,23.851318,-19.316328
Panthera leo,24.071732,-18.573036
Panthera leo,23.439189,-19.442873
Panthera leo,24.72294,-20.10403
Panthera leo,36.1825,-4.051485
Panthera leo,31.499539,2.212272
Panthera leo,22.479199,-18.800896
Panthera leo,24.779234,-19.826832
Panthera leo,24.658959,-19.886457
Panthera leo,34.816886,-1.32876
Panthera leo,26.890201,-18.664667
Panthera leo,34.954865,-7.217866
Panthera leo,29.455193,-15.919864
Panthera leo,31.841925,-26.3178
Panthera leo,35.117931,-2.495706
Panthera leo,38.831177,-2.977327
Panthera leo,34.747009,-2.619326
Panthera leo,35.206379,-1.9594800000000001
Panthera leo,35.05875,-1.667505
Panthera leo,35.045877,-1.769907
Panthera leo,34.862266,-2.561116
Panthera leo,35.127992,-1.730375
Panthera leo,38.322928,-2.377752
Panthera leo,26.215396,-18.493275
Panthera leo,26.170097,-18.647167
Panthera leo,32.585977,-26.893634
Panthera leo,31.941943,-12.90286
Panthera leo,22.449014,-14.535543
Panthera leo,35.759129,-3.426131
Panthera leo,22.967202,-30.497949
Panthera leo,31.445961,-25.424944
Panthera leo,32.446527,-26.842234
Panthera leo,32.46002,-27.095083
Panthera leo,32.537539,-27.191991
Panthera leo,32.581817,-27.055194
Panthera leo,30.942403,-24.246896
Panthera leo,37.641254000000004,-7.509705
Panthera leo,34.596173,-2.33714
Panthera leo,35.312536,-1.872472
Panthera leo,22.911214,-19.533415
Panthera leo,20.418751,-26.080891
Panthera leo,16.647694,-18.943596
Panthera leo,30.896987,-22.789791
Panthera leo,1.851493,11.236926
Panthera leo,31.288639,-25.339174
Panthera leo,15.93483,-18.804843
Panthera leo,22.060371,-25.048366
Panthera leo,34.493357,-8.79316
Panthera leo,1.656891,11.176137
Panthera leo,2.146788,11.500434
Panthera leo,31.568029,-25.580515
Panthera leo,24.324534,-18.035109
Panthera leo,31.388228,-25.110455
Panthera leo,26.399739,-18.85944
Panthera leo,24.379609,-18.131164
Panthera leo,24.243005,-18.134192
Panthera leo,31.207479,-23.873546
Panthera leo,26.928514,-18.959459
Panthera leo,26.857907,-18.803665
Panthera leo,15.845534,-18.849993
Panthera leo,1.371772,11.667832
Panthera leo,31.969667,-24.599683
Panthera leo,28.395385,-15.430432
Panthera leo,2.925444,11.522205
Panthera leo,14.431653,8.505252
Panthera leo,31.586715,2.245402
Panthera leo,31.565599,2.350549
Panthera leo,30.141055,-0.153361
Panthera leo,31.455704,2.369678
Panthera leo,31.548688,-24.777794
Panthera leo,2.279135,12.266693
Panthera leo,2.463157,12.450134
Panthera leo,2.206281,12.035291
Panthera leo,20.767185,-25.959717
Panthera leo,20.638063,-26.081448
Panthera leo,20.781618,-26.14428
Panthera leo,14.585873,8.407061
Panthera leo,25.466455,-32.121191
Panthera leo,38.234138,-3.54242
Panthera leo,16.912056,-18.962723
Panthera leo,16.941001,-18.838548
Panthera leo,31.646672,2.389815
Panthera leo,13.714275,7.979821
Panthera leo,31.819269,-25.355296
Panthera leo,23.927122,-19.084581
Panthera leo,36.809797,0.223367
Panthera leo,36.9191,-0.118523
Panthera leo,31.991117,-25.171661
Panthera leo,31.198704,-22.790615
Panthera leo,24.65394,-19.996773
Panthera leo,31.294776,-23.954485
Panthera leo,35.088477,-7.723713
Panthera leo,19.863026,-24.32926
Panthera leo,24.500312,-18.267047
Panthera leo,20.077073,-25.961491
Panthera leo,15.845324,-19.329323
Panthera leo,34.803312,-1.458539
Panthera leo,34.980776,-7.566684
Panthera leo,34.908104,-7.633082
Panthera leo,24.345945,-18.416874
Panthera leo,23.321188,-19.732876
Panthera leo,24.252332,-18.779846
Panthera leo,31.9083,-28.146036
Panthera leo,23.742958,-20.31513
Panthera leo,23.684442,-20.401241
Panthera leo,29.276842,-15.719391
Panthera leo,31.459588,-23.689626
Panthera leo,25.989041,-33.632453
Panthera leo,31.564682,-25.27461
Panthera leo,31.959985,-25.304456
